PID  PPID STAT    RSS COMM
    1     0 Ss    13264 /sbin/launchd
  100     1 Ss    24976 /usr/libexec/logd
  102     1 Ss     8720 /usr/libexec/UserEventAgent
  104     1 Ss     5856 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  105     1 Ss    10752 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  108     1 Ss     6384 /usr/sbin/systemstats
  112     1 Ss     5904 /usr/libexec/configd
  114     1 Ss     8352 /System/Library/CoreServices/powerd.bundle/powerd
  115     1 Ss     2496 /usr/libexec/IOMFB_bics_daemon
  119     1 Ss     3728 /usr/libexec/remoted
  123     1 Ss     3776 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  125     1 Ss     2960 /usr/libexec/watchdogd
  129     1 Ss    21792 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  131     1 Ss     3344 /usr/libexec/kernelmanagerd
  132     1 Ss     4416 /usr/libexec/diskarbitrationd
  135     1 Ss    16400 /usr/libexec/coreduetd
  136     1 Ss     2160 /usr/sbin/syslogd
  138     1 Ss     3824 /usr/libexec/thermalmonitord
  139     1 Ss     8816 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  140     1 Ss     7808 /usr/libexec/xprotectd
  141     1 Ss    11104 /usr/libexec/opendirectoryd
  142     1 Ss    11792 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  143     1 Ss     8288 /System/Library/CoreServices/launchservicesd
  144     1 Ss     3776 /usr/libexec/timed
  145     1 Ss     2448 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  146     1 Ss     7920 /usr/sbin/securityd
  148     1 Ss    18976 /usr/libexec/locationd
  151     1 Ss     2048 autofsd
  152     1 Ss    15968 /usr/libexec/dasd
  153     1 Ss     3440 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  154     1 Ss     2992 /usr/libexec/corerepaird
  156     1 Ss     3152 /usr/sbin/distnoted
  160     1 Ss     2880 /System/Library/CoreServices/logind
  161     1 Ss     3456 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  162     1 Ss     1392 /usr/sbin/KernelEventAgent
  164     1 Ss     2864 /usr/libexec/usermanagerd
  166     1 Ss    23248 /usr/sbin/bluetoothd
  167     1 Ss     3600 /usr/sbin/notifyd
  169     1 Ss     7792 /usr/libexec/corebrightnessd
  170     1 Ss     4544 /usr/libexec/AirPlayXPCHelper
  171     1 Ss     8224 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  173     1 Rs   100432 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  174     1 Ss    11696 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  175     1 Ss    23344 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  176     1 Ss     5328 /usr/sbin/cfprefsd
  180     1 Ss    15728 /usr/libexec/runningboardd
  181     1 Ss     3600 /System/Library/CoreServices/coreservicesd
  184     1 Ss    13696 /usr/sbin/mDNSResponder
  187     1 Ss     2848 /usr/libexec/apfsd
  188     1 Ss     8160 /usr/libexec/nsurlsessiond
  189     1 Ss     3984 /usr/libexec/nehelper
  192     1 Ss     9936 /usr/libexec/trustd
  193     1 Ss    10400 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  197     1 Ss    17392 /usr/sbin/coreaudiod
  198     1 Ss     5296 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
