time	swapouts	swapusage	free_pct	server_rss_gib
13:44:21	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	13%	97.7
13:44:26	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	9%	97.7
13:44:31	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	9%	97.7
13:44:36	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	8%	97.7
13:44:41	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	9%	97.7
13:44:46	2128656	total = 3072.00M  used = 2754.19M  free = 317.81M  (encrypted)	9%	97.7
13:44:51	2128656	total = 3072.00M  used = 2698.19M  free = 373.81M  (encrypted)	8%	97.8
13:44:56	2128656	total = 3072.00M  used = 2698.19M  free = 373.81M  (encrypted)	9%	97.8
13:45:01	2128656	total = 3072.00M  used = 2698.19M  free = 373.81M  (encrypted)	9%	97.8
13:45:06	2128656	total = 3072.00M  used = 2698.19M  free = 373.81M  (encrypted)	9%	97.8
13:45:11	2128656	total = 3072.00M  used = 2698.19M  free = 373.81M  (encrypted)	8%	97.8
13:45:16	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	97.9
13:45:21	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	97.9
13:45:26	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	97.8
13:45:31	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	97.7
13:45:36	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	97.7
13:45:41	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	97.7
13:45:46	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.0
13:45:51	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	98.0
13:45:56	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.0
13:46:01	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	98.0
13:46:06	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.0
13:46:11	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	9%	98.0
13:46:16	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:21	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:26	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:31	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:36	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:41	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.1
13:46:46	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.2
13:46:51	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	8%	98.2
13:46:56	2128656	total = 3072.00M  used = 2682.19M  free = 389.81M  (encrypted)	10%	98.2
