id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	18.137920484	0.755746687	0	0	24	24	0.755746687	-0.755746687	480	480	1.000000000	24	15	0.625000000	480	346	0.720833333	480	9488.577014031	9488.501439362	456	439	0.962719298
case_001	18	24	5.602684062	0.233445169	1	16	24	24	0.233445169	-0.233445169	480	478	0.995833333	24	21	0.875000000	478	357	0.746861925	478	9483.560435736	9483.536993543	454	450	0.991189427
case_002	19	24	16.253056899	0.677210704	1	5	24	24	0.677210704	-0.677210704	480	478	0.995833333	24	18	0.750000000	478	365	0.763598326	478	9485.598785883	9485.530781461	454	440	0.969162996
case_003	19	24	14.486615695	0.603608987	1	3	24	24	0.603608987	-0.603608987	480	479	0.997916667	24	20	0.833333333	479	334	0.697286013	479	9484.529847727	9484.469360814	455	451	0.991208791
case_004	15	24	9.531839312	0.397159971	0	0	24	24	0.397159971	-0.397159971	480	479	0.997916667	24	20	0.833333333	479	310	0.647181628	479	9474.820475090	9474.780676178	473	468	0.989429175
case_005	14	24	10.784323313	0.449346805	1	1	24	24	0.449346805	-0.449346805	480	477	0.993750000	24	19	0.791666667	477	356	0.746331237	477	9483.182119700	9483.136902411	453	446	0.984547461
case_006	18	24	14.334513054	0.597271377	1	1	24	24	0.597271377	-0.597271377	480	478	0.995833333	24	19	0.791666667	478	325	0.679916318	478	9485.398482806	9485.338505764	454	446	0.982378855
case_007	14	24	15.543107677	0.647629487	0	0	24	24	0.647629487	-0.647629487	480	480	1.000000000	24	15	0.625000000	480	351	0.731250000	480	9469.704804255	9469.640041306	474	460	0.970464135
case_008	20	24	8.805909733	0.366912906	1	4	24	24	0.366912906	-0.366912906	480	480	1.000000000	24	20	0.833333333	480	339	0.706250000	480	9486.687077465	9486.650386174	456	450	0.986842105
case_009	17	24	4.506323281	0.187763470	1	14	24	24	0.187763470	-0.187763470	480	475	0.989583333	24	23	0.958333333	475	331	0.696842105	475	9479.421367804	9479.402393812	451	449	0.995565410
case_010	26	24	5.498131164	0.229088799	1	7	24	24	0.229088799	-0.229088799	480	477	0.993750000	24	23	0.958333333	477	336	0.704402516	477	9478.792277546	9478.769224586	453	450	0.993377483
case_011	21	24	5.444744294	0.226864346	0	0	24	24	0.226864346	-0.226864346	480	479	0.997916667	24	23	0.958333333	479	351	0.732776618	479	9485.765555484	9485.742821687	455	453	0.995604396
case_012	22	24	12.724905472	0.530204395	0	0	24	24	0.530204395	-0.530204395	480	480	1.000000000	24	18	0.750000000	480	344	0.716666667	480	9484.765586037	9484.712565598	456	446	0.978070175
case_013	22	24	6.590567956	0.274606998	0	0	24	24	0.274606998	-0.274606998	480	480	1.000000000	24	22	0.916666667	480	339	0.706250000	480	9484.433219952	9484.405759252	456	453	0.993421053
case_014	21	24	8.710898785	0.362954116	0	0	24	24	0.362954116	-0.362954116	480	479	0.997916667	24	20	0.833333333	479	355	0.741127349	479	9486.188006237	9486.151635052	455	448	0.984615385
case_015	22	24	21.603885982	0.900161916	0	0	24	24	0.900161916	-0.900161916	480	480	1.000000000	24	20	0.833333333	480	363	0.756250000	480	9487.008885214	9486.918869023	456	443	0.971491228
case_016	19	24	15.423277983	0.642636583	1	4	24	24	0.642636583	-0.642636583	480	479	0.997916667	24	17	0.708333333	479	365	0.762004175	479	9475.281112582	9475.216714762	473	463	0.978858351
case_017	26	24	12.764567079	0.531856962	0	0	24	24	0.531856962	-0.531856962	480	480	1.000000000	24	19	0.791666667	480	314	0.654166667	480	9483.158554337	9483.105368640	456	449	0.984649123
case_018	25	24	6.652113284	0.277171387	1	1	24	24	0.277171387	-0.277171387	480	479	0.997916667	24	22	0.916666667	479	352	0.734864301	479	9484.736828143	9484.709053140	455	451	0.991208791
case_019	19	24	21.062711966	0.877612999	1	15	24	24	0.877612999	-0.877612999	480	478	0.995833333	24	19	0.791666667	478	307	0.642259414	478	9477.113692256	9477.025563754	472	464	0.983050847
case_020	18	24	20.521343692	0.855055987	0	0	24	24	0.855055987	-0.855055987	480	480	1.000000000	24	17	0.708333333	480	355	0.739583333	480	9472.437896965	9472.352391366	474	458	0.966244726
case_021	18	24	1.128888890	0.047037037	1	24	24	24	0.047037037	-0.047037037	480	475	0.989583333	24	24	1.000000000	475	351	0.738947368	475	9478.219809759	9478.215056543	451	451	1.000000000
case_022	16	24	12.255457704	0.510644071	1	6	24	24	0.510644071	-0.510644071	480	479	0.997916667	24	20	0.833333333	479	325	0.678496868	479	9484.080796053	9484.029625039	455	446	0.980219780
case_023	14	24	15.630109467	0.651254561	0	0	24	24	0.651254561	-0.651254561	480	478	0.995833333	24	17	0.708333333	478	337	0.705020921	478	9482.484526826	9482.419128878	454	446	0.982378855
case_024	15	24	11.851693293	0.493820554	1	1	24	24	0.493820554	-0.493820554	480	478	0.995833333	24	20	0.833333333	478	371	0.776150628	478	9485.830005899	9485.780417224	454	448	0.986784141
case_025	20	24	8.109784088	0.337907670	0	0	24	24	0.337907670	-0.337907670	480	479	0.997916667	24	22	0.916666667	479	326	0.680584551	479	9485.791239428	9485.757378116	455	452	0.993406593
case_026	17	24	16.484844020	0.686868501	1	1	24	24	0.686868501	-0.686868501	480	480	1.000000000	24	15	0.625000000	480	336	0.700000000	480	9471.507263057	9471.438576207	492	474	0.963414634
case_027	14	24	7.408266932	0.308677789	1	8	24	24	0.308677789	-0.308677789	480	479	0.997916667	24	21	0.875000000	479	323	0.674321503	479	9481.942478971	9481.911546750	455	451	0.991208791
case_028	16	24	9.407011858	0.391958827	1	1	24	24	0.391958827	-0.391958827	480	479	0.997916667	24	19	0.791666667	479	302	0.630480167	479	9483.913383052	9483.874105341	455	449	0.986813187
case_029	18	24	16.375608717	0.682317030	1	6	24	24	0.682317030	-0.682317030	480	480	1.000000000	24	19	0.791666667	480	353	0.735416667	480	9488.457071036	9488.388839333	456	442	0.969298246
case_030	23	24	13.132184217	0.547174342	0	0	24	24	0.547174342	-0.547174342	480	480	1.000000000	24	19	0.791666667	480	366	0.762500000	480	9486.146059244	9486.091341810	456	446	0.978070175
case_031	22	24	3.990421288	0.166267554	1	3	24	24	0.166267554	-0.166267554	480	477	0.993750000	24	23	0.958333333	477	367	0.769392034	477	9479.311818929	9479.295087603	453	451	0.995584989
case_032	18	24	12.473305431	0.519721060	0	0	24	24	0.519721060	-0.519721060	480	480	1.000000000	24	20	0.833333333	480	352	0.733333333	480	9483.568619855	9483.516647749	456	443	0.971491228
case_033	15	24	6.904149326	0.287672889	0	0	24	24	0.287672889	-0.287672889	480	478	0.995833333	24	20	0.833333333	478	347	0.725941423	478	9482.026138700	9481.997251046	454	450	0.991189427
case_034	22	24	8.026212906	0.334425538	0	0	24	24	0.334425538	-0.334425538	480	479	0.997916667	24	22	0.916666667	479	366	0.764091858	479	9481.897739718	9481.864227347	455	450	0.989010989
case_035	23	24	12.063598977	0.502649957	0	0	24	24	0.502649957	-0.502649957	480	479	0.997916667	24	21	0.875000000	479	357	0.745302714	479	9484.493931938	9484.443562005	455	447	0.982417582
case_036	21	24	7.546573166	0.314440549	0	0	24	24	0.314440549	-0.314440549	480	479	0.997916667	24	21	0.875000000	479	349	0.728601253	479	9482.694501511	9482.662991811	455	451	0.991208791
case_037	18	24	19.071604995	0.794650208	0	0	24	24	0.794650208	-0.794650208	480	479	0.997916667	24	20	0.833333333	479	334	0.697286013	479	9482.223519051	9482.143888132	455	438	0.962637363
case_038	26	24	8.394041111	0.349751713	1	1	24	24	0.349751713	-0.349751713	480	479	0.997916667	24	22	0.916666667	479	356	0.743215031	479	9480.624744919	9480.589696731	455	450	0.989010989
case_039	23	24	7.966360771	0.331931699	1	12	24	24	0.331931699	-0.331931699	480	480	1.000000000	24	21	0.875000000	480	361	0.752083333	480	9475.153739146	9475.120545976	492	488	0.991869919
case_040	21	24	16.193175668	0.674715653	0	0	24	24	0.674715653	-0.674715653	480	479	0.997916667	24	16	0.666666667	479	339	0.707724426	479	9487.384841194	9487.317228769	455	440	0.967032967
case_041	15	24	15.202914694	0.633454779	0	0	24	24	0.633454779	-0.633454779	480	480	1.000000000	24	19	0.791666667	480	337	0.702083333	480	9488.669880397	9488.606534919	456	446	0.978070175
case_042	14	24	13.667975916	0.569498997	0	0	24	24	0.569498997	-0.569498997	480	480	1.000000000	24	21	0.875000000	480	358	0.745833333	480	9488.508580174	9488.451630274	456	450	0.986842105
case_043	18	24	4.183700912	0.174320871	0	0	24	24	0.174320871	-0.174320871	480	472	0.983333333	24	21	0.875000000	472	336	0.711864407	472	9475.253281661	9475.235554115	448	445	0.993303571
case_044	20	24	7.680671195	0.320027966	1	1	24	24	0.320027966	-0.320027966	480	479	0.997916667	24	22	0.916666667	479	350	0.730688935	479	9484.257882187	9484.225812579	455	453	0.995604396
case_045	18	24	4.940103811	0.205837659	1	21	24	24	0.205837659	-0.205837659	480	480	1.000000000	24	23	0.958333333	480	324	0.675000000	480	9488.272340383	9488.251756617	456	455	0.997807018
case_046	19	24	2.816345051	0.117347710	1	24	24	24	0.117347710	-0.117347710	480	476	0.991666667	24	24	1.000000000	476	330	0.693277311	476	9478.629549279	9478.617715896	452	452	1.000000000
case_047	16	24	9.523756148	0.396823173	1	5	24	24	0.396823173	-0.396823173	480	479	0.997916667	24	20	0.833333333	479	295	0.615866388	479	9485.282182384	9485.242417223	455	450	0.989010989
case_048	18	24	13.135002080	0.547291753	1	17	24	24	0.547291753	-0.547291753	480	479	0.997916667	24	21	0.875000000	479	348	0.726513570	479	9484.963744039	9484.908900607	455	439	0.964835165
case_049	18	24	21.952510315	0.914687930	0	0	24	24	0.914687930	-0.914687930	480	480	1.000000000	24	16	0.666666667	480	356	0.741666667	480	9468.176216860	9468.084748067	474	449	0.947257384
case_050	27	24	16.698239543	0.695759981	1	9	24	24	0.695759981	-0.695759981	480	480	1.000000000	24	19	0.791666667	480	344	0.716666667	480	9482.323282327	9482.253706329	456	447	0.980263158
case_051	21	24	18.991968270	0.791332011	0	0	24	24	0.791332011	-0.791332011	480	480	1.000000000	24	20	0.833333333	480	341	0.710416667	480	9488.510790709	9488.431657508	456	447	0.980263158
case_052	19	24	15.063202005	0.627633417	1	3	24	24	0.627633417	-0.627633417	480	479	0.997916667	24	20	0.833333333	479	322	0.672233820	479	9480.443045565	9480.380151193	491	483	0.983706721
case_053	22	24	1.463374701	0.060973946	1	17	24	24	0.060973946	-0.060973946	480	476	0.991666667	24	23	0.958333333	476	325	0.682773109	476	9477.098377909	9477.092229275	452	451	0.997787611
case_054	24	24	4.610745277	0.192114387	0	0	24	24	0.192114387	-0.192114387	480	480	1.000000000	24	23	0.958333333	480	355	0.739583333	480	9481.579531838	9481.560320400	456	453	0.993421053
case_055	25	24	14.622886080	0.609286920	1	5	24	24	0.609286920	-0.609286920	480	480	1.000000000	24	21	0.875000000	480	335	0.697916667	480	9484.564475090	9484.503546398	456	446	0.978070175
case_056	18	24	11.611056044	0.483794002	1	9	24	24	0.483794002	-0.483794002	480	479	0.997916667	24	20	0.833333333	479	348	0.726513570	479	9483.604864147	9483.556383746	455	450	0.989010989
case_057	22	24	10.579365938	0.440806914	0	0	24	24	0.440806914	-0.440806914	480	478	0.995833333	24	21	0.875000000	478	358	0.748953975	478	9481.992508838	9481.948243709	454	444	0.977973568
case_058	25	24	13.647195929	0.568633164	0	0	24	24	0.568633164	-0.568633164	480	480	1.000000000	24	19	0.791666667	480	352	0.733333333	480	9484.579982728	9484.523119411	456	449	0.984649123
case_059	23	24	5.892654035	0.245527251	1	5	24	24	0.245527251	-0.245527251	480	480	1.000000000	24	23	0.958333333	480	334	0.695833333	480	9481.818583924	9481.794031199	456	454	0.995614035
case_060	17	24	0.541244708	0.022551863	1	24	24	24	0.022551863	-0.022551863	480	473	0.985416667	24	24	1.000000000	473	348	0.735729387	473	9475.893179366	9475.890890805	449	449	1.000000000
case_061	16	24	19.134858151	0.797285756	0	0	24	24	0.797285756	-0.797285756	480	480	1.000000000	24	19	0.791666667	480	337	0.702083333	480	9474.641135997	9474.561407421	492	479	0.973577236
case_062	14	24	6.839448304	0.284977013	1	12	24	24	0.284977013	-0.284977013	480	480	1.000000000	24	21	0.875000000	480	305	0.635416667	480	9483.638862170	9483.610364469	456	453	0.993421053
case_063	15	24	5.232376694	0.218015696	1	11	24	24	0.218015696	-0.218015696	480	476	0.991666667	24	22	0.916666667	476	357	0.750000000	476	9477.638613504	9477.616628728	452	448	0.991150442
case_064	12	24	10.891118461	0.453796603	1	14	24	24	0.453796603	-0.453796603	480	477	0.993750000	24	21	0.875000000	477	305	0.639412998	477	9475.928321485	9475.882656418	471	466	0.989384289
case_065	15	24	14.644962334	0.610206764	1	1	24	24	0.610206764	-0.610206764	480	480	1.000000000	24	17	0.708333333	480	340	0.708333333	480	9486.754247482	9486.693226805	456	447	0.980263158
case_066	16	24	7.601732146	0.316738839	0	0	24	24	0.316738839	-0.316738839	480	480	1.000000000	24	22	0.916666667	480	369	0.768750000	480	9485.492169858	9485.460495974	474	468	0.987341772
case_067	17	24	18.037515112	0.751563130	0	0	24	24	0.751563130	-0.751563130	480	479	0.997916667	24	19	0.791666667	479	341	0.711899791	479	9470.133584278	9470.058271063	473	459	0.970401691
case_068	17	24	8.347106769	0.347796115	1	7	24	24	0.347796115	-0.347796115	480	480	1.000000000	24	21	0.875000000	480	329	0.685416667	480	9486.417031487	9486.382251876	456	452	0.991228070
case_069	18	24	13.987365457	0.582806894	1	1	24	24	0.582806894	-0.582806894	480	479	0.997916667	24	20	0.833333333	479	370	0.772442589	479	9487.822159812	9487.763757451	455	447	0.982417582
case_070	24	24	9.096166129	0.379006922	1	5	24	24	0.379006922	-0.379006922	480	476	0.991666667	24	21	0.875000000	476	341	0.716386555	476	9478.064048750	9478.025829564	452	447	0.988938053
case_071	24	24	17.683116729	0.736796530	0	0	24	24	0.736796530	-0.736796530	480	480	1.000000000	24	21	0.875000000	480	388	0.808333333	480	9487.626083119	9487.552403466	456	442	0.969298246
case_072	17	24	3.989372133	0.166223839	1	13	24	24	0.166223839	-0.166223839	480	478	0.995833333	24	23	0.958333333	478	331	0.692468619	478	9475.253710924	9475.237018990	472	471	0.997881356
case_073	15	24	8.406540224	0.350272509	1	3	24	24	0.350272509	-0.350272509	480	477	0.993750000	24	20	0.833333333	477	369	0.773584906	477	9469.458082924	9469.422835376	471	464	0.985138004
case_074	15	24	15.823630625	0.659317943	0	0	24	24	0.659317943	-0.659317943	480	478	0.995833333	24	20	0.833333333	478	350	0.732217573	478	9463.301446620	9463.235238961	471	456	0.968152866
case_075	16	24	11.552970296	0.481373762	1	6	24	24	0.481373762	-0.481373762	480	478	0.995833333	24	21	0.875000000	478	332	0.694560669	478	9482.146054815	9482.097716027	454	447	0.984581498
case_076	22	24	3.159919488	0.131663312	1	4	24	24	0.131663312	-0.131663312	480	477	0.993750000	24	22	0.916666667	477	360	0.754716981	477	9478.504031192	9478.490782054	453	451	0.995584989
case_077	24	24	14.477761751	0.603240073	0	0	24	24	0.603240073	-0.603240073	480	480	1.000000000	24	18	0.750000000	480	352	0.733333333	480	9485.569467834	9485.509143827	456	449	0.984649123
case_078	28	24	14.937482108	0.622395088	0	0	24	24	0.622395088	-0.622395088	480	479	0.997916667	24	19	0.791666667	479	331	0.691022965	479	9484.100021285	9484.037651840	455	442	0.971428571
case_079	20	24	15.750142846	0.656255952	0	0	24	24	0.656255952	-0.656255952	480	479	0.997916667	24	19	0.791666667	479	336	0.701461378	479	9474.923605141	9474.857842540	473	465	0.983086681
case_080	13	24	24.605404239	1.025225177	1	6	24	24	1.025225177	-1.025225177	480	478	0.995833333	24	16	0.666666667	478	325	0.679916318	478	9486.922314351	9486.819362869	454	429	0.944933921
case_081	13	24	8.448884375	0.352036849	1	12	24	24	0.352036849	-0.352036849	480	479	0.997916667	24	22	0.916666667	479	343	0.716075157	479	9486.824271884	9486.788994705	455	452	0.993406593
case_082	16	24	12.039131723	0.501630488	1	7	24	24	0.501630488	-0.501630488	480	477	0.993750000	24	19	0.791666667	477	320	0.670859539	477	9472.082677717	9472.032199177	471	463	0.983014862
case_083	19	17	2.160842434	0.127108378	1	2	17	17	0.127108378	-0.127108378	340	330	0.970588235	17	16	0.941176471	330	229	0.693939394	330	9460.812200929	9460.799104914	313	312	0.996805112
case_084	23	11	0.010891543	0.000990140	1	11	11	11	0.000990140	-0.000990140	220	215	0.977272727	11	11	1.000000000	215	148	0.688372093	215	9467.463500297	9467.463398980	204	204	1.000000000
case_085	18	24	7.681318495	0.320054937	1	11	24	24	0.320054937	-0.320054937	480	475	0.989583333	24	22	0.916666667	475	346	0.728421053	475	9464.884700178	9464.852357785	469	464	0.989339019
case_086	16	24	13.332340190	0.555514175	1	8	24	24	0.555514175	-0.555514175	480	480	1.000000000	24	21	0.875000000	480	367	0.764583333	480	9487.444822882	9487.389271464	456	445	0.975877193
case_087	12	24	11.794175151	0.491423965	1	3	24	24	0.491423965	-0.491423965	480	480	1.000000000	24	20	0.833333333	480	350	0.729166667	480	9487.805754413	9487.756612017	456	452	0.991228070
case_088	14	24	18.293648408	0.762235350	0	0	24	24	0.762235350	-0.762235350	480	480	1.000000000	24	19	0.791666667	480	364	0.758333333	480	9491.344244329	9491.268020794	456	443	0.971491228
case_089	12	24	13.995867107	0.583161129	0	0	24	24	0.583161129	-0.583161129	480	480	1.000000000	24	18	0.750000000	480	312	0.650000000	480	9468.736517807	9468.678201694	474	466	0.983122363
case_090	17	24	14.661445438	0.610893560	0	0	24	24	0.610893560	-0.610893560	480	480	1.000000000	24	18	0.750000000	480	313	0.652083333	480	9486.754007549	9486.692918193	456	444	0.973684211
case_091	14	24	17.305050171	0.721043757	0	0	24	24	0.721043757	-0.721043757	480	479	0.997916667	24	17	0.708333333	479	299	0.624217119	479	9483.321301361	9483.249046454	455	445	0.978021978
case_092	15	24	1.799443723	0.074976822	1	21	24	24	0.074976822	-0.074976822	480	475	0.989583333	24	23	0.958333333	475	379	0.797894737	475	9476.730327076	9476.722750471	451	450	0.997782705
case_093	17	24	13.762070096	0.573419587	0	0	24	24	0.573419587	-0.573419587	480	480	1.000000000	24	18	0.750000000	480	350	0.729166667	480	9478.618918448	9478.561576489	474	457	0.964135021
case_094	16	8	2.930427023	0.366303378	0	0	8	8	0.366303378	-0.366303378	160	155	0.968750000	8	7	0.875000000	155	114	0.735483871	155	9463.515716991	9463.477905029	147	146	0.993197279
case_095	17	15	2.173101735	0.144873449	1	4	15	15	0.144873449	-0.144873449	300	290	0.966666667	15	14	0.933333333	290	202	0.696551724	290	9461.518559852	9461.503572943	275	274	0.996363636
case_096	15	11	2.798403841	0.254400349	1	5	11	11	0.254400349	-0.254400349	220	213	0.968181818	11	10	0.909090909	213	139	0.652582160	213	9459.762039977	9459.735763885	202	201	0.995049505
case_097	22	11	0.327132512	0.029739319	1	11	11	11	0.029739319	-0.029739319	220	211	0.959090909	11	11	1.000000000	211	150	0.710900474	211	9456.184742362	9456.181641580	200	200	1.000000000
case_098	20	8	5.812064100	0.726508013	1	1	8	8	0.726508013	-0.726508013	160	152	0.950000000	8	5	0.625000000	152	108	0.710526316	152	9455.167205877	9455.090731349	144	141	0.979166667
case_099	22	24	7.585378839	0.316057452	0	0	24	24	0.316057452	-0.316057452	480	464	0.966666667	24	21	0.875000000	464	325	0.700431034	464	9462.253860231	9462.221164633	440	437	0.993181818
