arm	layers	avg_nll	first_match	avg_lcp
base	-	0.474123093	86	7.810
g3-9	3-9	0.461086007	83	7.520
g10-16	10-16	0.437172317	91	8.440
g17-23	17-23	0.436830393	90	7.900
g24-30	24-30	0.441795955	87	8.400
g31-37	31-37	0.450324232	86	8.560
g38-44	38-44	0.446949260	88	8.310
l17	17	0.467332370	88	7.760
l18	18	0.468014461	88	8.330
l19	19	0.467379905	86	7.220
l20	20	0.472510270	88	7.900
l21	21	0.469492375	87	7.160
l22	22	0.470891336	85	7.310
l23	23	0.471261417	88	8.050
l10	10	0.471872650	91	8.210
l11	11	0.470820161	85	8.550
l12	12	0.470729232	86	7.530
l13	13	0.469551440	86	7.340
l14	14	0.465024720	87	8.450
l15	15	0.468797423	90	8.060
l16	16	0.465076605	89	7.880
t14-16-17	14,16,17	0.453517592	88	8.500
t14-16-18	14,16,18	0.452072858	87	7.980
t14-16-19	14,16,19	0.451056021	88	8.140
t14-17-18	14,17,18	0.454158410	87	8.150
t14-17-19	14,17,19	0.449982534	86	7.870
t14-18-19	14,18,19	0.452952337	88	7.200
t16-17-18	16,17,18	0.453154912	89	8.210
t16-17-19	16,17,19	0.453713577	85	7.680
t16-18-19	16,18,19	0.448777317	88	7.900
t17-18-19	17,18,19	0.451766260	89	8.050
confirm-16,18,19	16,18,19	0.448777317	88	7.900
confirm-14,17,19	14,17,19	0.449982534	86	7.870
