rank,layer,type,combined_delta_nmse,gate_delta_nmse,up_delta_nmse,gate_q4_nmse,gate_q8_nmse,up_q4_nmse,up_q8_nmse,gate_q4_cos_error,gate_q8_cos_error,up_q4_cos_error,up_q8_cos_error,gate_q4_rel_frobenius,gate_q8_rel_frobenius,finite
1,0,GDN,0.01123911347,0.005680982246,0.005558131223,0.005714964719,3.398247277e-05,0.00559097047,3.283924672e-05,0.002857257836,1.698995074e-05,0.0027953721,1.641838161e-05,0.07559738566,0.005829448753,true
2,2,GDN,0.01070441252,0.005386767652,0.005317644864,0.005418317233,3.154958162e-05,0.005348539273,3.089440879e-05,0.002709180096,1.577363535e-05,0.002674350321,1.544607721e-05,0.07360921976,0.005616901425,true
3,1,GDN,0.01067770322,0.005371882774,0.005305820441,0.00540331081,3.142803551e-05,0.005336615974,3.079553277e-05,0.002701692444,1.571286847e-05,0.002668401309,1.539666461e-05,0.07350721604,0.005606071308,true
4,3,QSA,0.01057422231,0.005308518276,0.005265704038,0.005339302532,3.078425673e-05,0.005296097728,3.039369009e-05,0.002669743445,1.539097997e-05,0.002648174974,1.519574901e-05,0.07307053122,0.005548356218,true
5,5,GDN,0.01056382039,0.005296376911,0.005267443482,0.005327128389,3.075147834e-05,0.005297924315,3.048083303e-05,0.002663657827,1.537459705e-05,0.002649081158,1.523930607e-05,0.07298717962,0.005545401549,true
6,4,GDN,0.01055202598,0.005299671965,0.005252354018,0.005330401539,3.072957374e-05,0.005282659755,3.030573661e-05,0.002665297932,1.536363947e-05,0.002641455596,1.515176318e-05,0.07300959895,0.005543426173,true
7,38,GDN,0.01051782309,0.005283075653,0.005234747433,0.005313927341,3.085168758e-05,0.005265091619,3.034418609e-05,0.002657062771,1.54246999e-05,0.002632676109,1.517094823e-05,0.07289668951,0.005554429546,true
8,47,QSA,0.01051221583,0.005271502087,0.005240713738,0.005302254593,3.075250599e-05,0.005271105298,3.039156033e-05,0.002651226315,1.537507671e-05,0.002635684147,1.519460963e-05,0.07281658186,0.005545494206,true
9,6,GDN,0.01048231568,0.005268773388,0.005213542295,0.005299311817,3.05384291e-05,0.005243564018,3.002172299e-05,0.002649769893,1.526807914e-05,0.00262193616,1.500979012e-05,0.07279637228,0.005526158621,true
10,9,GDN,0.01048116161,0.005247399049,0.005233762558,0.005277646915,3.024786606e-05,0.005263885867,3.012330897e-05,0.002638962311,1.512285863e-05,0.002632092134,1.506058996e-05,0.07264741506,0.005499806002,true
11,46,GDN,0.01046906277,0.005268648197,0.005200414575,0.005299408142,3.075994536e-05,0.005230437857,3.002328259e-05,0.002649810043,1.537885386e-05,0.002615381225,1.501050754e-05,0.07279703388,0.005546164924,true
12,25,GDN,0.01043808353,0.005224101276,0.005213982257,0.005254162493,3.006121639e-05,0.005243946154,2.99638975e-05,0.002627219981,1.502958405e-05,0.002622130306,1.498090142e-05,0.07248560197,0.005482810994,true
13,14,GDN,0.01041922522,0.005215012874,0.005204212343,0.005245030523,3.001764938e-05,0.00523412275,2.991040679e-05,0.002622668337,1.500779891e-05,0.002617227606,1.495416245e-05,0.07242258296,0.005478836499,true
14,15,QSA,0.01041455056,0.005203589823,0.005210960739,0.005233437094,2.984727097e-05,0.005240864894,2.990415474e-05,0.002616879485,1.492256359e-05,0.002620593452,1.495101227e-05,0.07234249853,0.005463265596,true
15,34,GDN,0.01040041027,0.005217169889,0.005183240378,0.005247352475,3.018258631e-05,0.005213042153,2.980177417e-05,0.002623822888,1.509021884e-05,0.002606696669,1.489979934e-05,0.07243861177,0.005493868065,true
16,22,GDN,0.0103971146,0.005218149543,0.005178965057,0.005248356744,3.02072003e-05,0.005208755963,2.979090601e-05,0.002624321558,1.510248331e-05,0.002604552586,1.489440324e-05,0.0724455433,0.005496107741,true
17,16,GDN,0.01039507417,0.0052008954,0.00519417877,0.005230722865,2.982746467e-05,0.005223930721,2.975195168e-05,0.00261553146,1.491268094e-05,0.002612143181,1.487490369e-05,0.07232373652,0.005461452616,true
18,45,GDN,0.0103944292,0.005222455249,0.005171973948,0.005252743893,3.028864396e-05,0.005201727691,2.975374367e-05,0.00262650861,1.514322643e-05,0.002601041711,1.48757713e-05,0.07247581592,0.005503511966,true
19,30,GDN,0.01038982642,0.005197431534,0.005192394886,0.005227299707,2.986817294e-05,0.005222193255,2.979836861e-05,0.002613819345,1.493307767e-05,0.002611266567,1.489810491e-05,0.07230006713,0.005465178217,true
20,18,GDN,0.01038588193,0.005208105356,0.005177776576,0.005238208096,3.010274067e-05,0.005207541268,2.976469257e-05,0.002619259327,1.50503163e-05,0.00260394471,1.488130387e-05,0.07237546612,0.005486596456,true
21,31,QSA,0.01038397812,0.005187610719,0.005196367402,0.005217325132,2.971441272e-05,0.005226139032,2.97716309e-05,0.002608840817,1.485616148e-05,0.002613233906,1.488472291e-05,0.07223105379,0.0054510928,true
22,7,QSA,0.01037973556,0.005204457668,0.005175277894,0.005234399177,2.994150922e-05,0.005204955342,2.967744835e-05,0.002617363799,1.496968639e-05,0.002602656975,1.483766048e-05,0.07234914773,0.005471883516,true
23,32,GDN,0.010376993,0.005194778103,0.005182214901,0.005224558346,2.978024311e-05,0.005211870631,2.96557307e-05,0.002612456247,1.488907919e-05,0.002606108765,1.482676878e-05,0.07228110643,0.005457127734,true
24,8,GDN,0.01036617829,0.005189662503,0.005176515788,0.005219431352,2.976884932e-05,0.005206171818,2.965602951e-05,0.002609895695,1.488339068e-05,0.00260327185,1.482698145e-05,0.07224563206,0.005456083698,true
25,37,GDN,0.01036562799,0.005195774992,0.005169852998,0.00522571821,2.994321778e-05,0.00519954398,2.969098211e-05,0.002613023724,1.497049238e-05,0.002599960928,1.484439028e-05,0.07228912927,0.005472039637,true
26,36,GDN,0.01036063915,0.005191048191,0.005169590954,0.005220865803,2.981761242e-05,0.005199213896,2.962294139e-05,0.002610601616,1.49076962e-05,0.002599790009,1.481035762e-05,0.07225555898,0.00546055056,true
27,28,GDN,0.01035684762,0.005187575679,0.005169271946,0.005217394905,2.981922533e-05,0.005198911505,2.963955936e-05,0.002608871503,1.490859152e-05,0.002599640498,1.481874937e-05,0.07223153677,0.005460698246,true
28,39,QSA,0.0103549435,0.005192658944,0.005162284555,0.005222465551,2.980660705e-05,0.005191830707,2.954615253e-05,0.002611404516,1.490218529e-05,0.002596109041,1.477194531e-05,0.0722666282,0.005459542751,true
29,42,GDN,0.01035384657,0.005188694191,0.005165152377,0.005218579313,2.988512176e-05,0.005194818165,2.966578784e-05,0.002609455535,1.494142337e-05,0.002597587718,1.483179039e-05,0.072239735,0.005466728616,true
30,44,GDN,0.01034901077,0.005188957435,0.005160053338,0.005218868088,2.991065381e-05,0.005189675671,2.962233344e-05,0.002609597603,1.495425022e-05,0.002595030395,1.481007874e-05,0.0722417337,0.005469063339,true
31,24,GDN,0.01033997209,0.005173025042,0.005166947053,0.00520265929,2.963424863e-05,0.005196515742,2.956868946e-05,0.002601512573,1.481611205e-05,0.002598440123,1.478332819e-05,0.07212946201,0.005443734805,true
32,26,GDN,0.0103394911,0.005173385775,0.00516610533,0.005203041911,2.965613678e-05,0.005195678317,2.957298702e-05,0.002601707699,1.482708876e-05,0.002598026065,1.478547967e-05,0.07213211429,0.005445744833,true
33,12,GDN,0.01033816162,0.005178238372,0.00515992325,0.005207984277,2.974590514e-05,0.005189498369,2.957511925e-05,0.002604166803,1.487193336e-05,0.002594938584,1.478652612e-05,0.07216636528,0.005453980669,true
34,27,QSA,0.01032831916,0.005165810179,0.005162508984,0.005195362004,2.955182419e-05,0.005192025631,2.951664701e-05,0.002597870224,1.477493497e-05,0.00259620689,1.47573019e-05,0.07207885962,0.005436158955,true
35,33,GDN,0.0103248854,0.005168324078,0.005156561326,0.005197930522,2.960644397e-05,0.005186040481,2.947915459e-05,0.002599150752,1.480218206e-05,0.002593219084,1.473852513e-05,0.07209667483,0.005441180384,true
36,41,GDN,0.01032403008,0.005178851689,0.005145178388,0.0052086505,2.979881106e-05,0.00517463487,2.945648176e-05,0.00260450006,1.489828749e-05,0.002587518779,1.47271485e-05,0.07217098101,0.005458828726,true
37,35,QSA,0.01032020878,0.0051683146,0.005151894179,0.005197960387,2.964578708e-05,0.005181368426,2.947424716e-05,0.002599167799,1.482185038e-05,0.002590878144,1.473603889e-05,0.07209688195,0.005444794493,true
38,17,GDN,0.01031705774,0.005163454603,0.005153603138,0.005193010759,2.955615545e-05,0.005183050232,2.944709431e-05,0.002596692113,1.477706214e-05,0.002591723855,1.472252438e-05,0.07206254754,0.005436557316,true
